s_no,sheet_name,description,rate_source,unit_rate,quantity,total_usd,status,flag,delta_pct,cg_band,charge_group,issues,tolerance,ref_rate_usd,doc_aed,gate_status,gate_score,gate_fails,supporting_docs_list,evidence_count,evidence_types,pdf_validation,demurrage_risk,gates,S/No,REV RATE,REV TOTAL,DIFFERENCE
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,300.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,300.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,24.51,24.51,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,8.58,8.58,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,20.01,20.01,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,49.01,49.01,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,160.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,160.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,300.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,300.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,24.51,24.51,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,8.58,8.58,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,20.01,20.01,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,49.01,49.01,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,160.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,160.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,80.0,80.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,300.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
2,MasterData,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,2.0,150.0,150.0,0.0
